user_id,activity_id,rating
1,47,4
1,454,5
1,473,4
1,119,4
1,199,5
1,493,4
1,450,5
1,176,3
1,468,4
1,65,3
1,26,5
1,281,3
1,332,4
1,258,3
1,401,3
1,477,1
1,307,3
2,322,4
2,453,3
2,215,4
2,177,5
2,471,4
2,324,4
2,440,4
2,213,4
2,176,4
2,468,4
2,203,5
2,362,4
2,408,3
2,215,3
2,145,4
2,203,4
2,358,5
2,160,4
2,114,5
2,210,4
2,238,4
2,124,2
2,369,5
2,307,3
2,301,3
2,383,2
2,88,2
2,489,3
2,401,2
2,339,3
3,264,5
3,457,5
3,72,4
3,430,4
3,237,4
3,297,5
3,362,4
3,297,4
3,112,3
3,468,5
3,3,5
3,216,5
3,65,5
3,237,5
3,128,5
3,230,5
3,104,4
3,8,3
3,438,1
3,164,3
4,478,5
4,479,4
4,38,4
4,345,4
4,124,4
4,489,4
4,157,4
4,124,4
4,282,5
4,347,4
4,314,5
4,312,4
4,12,5
4,279,5
4,397,4
4,466,5
4,270,3
4,93,5
4,229,4
4,201,3
4,42,3
4,27,5
4,243,1
4,103,3
4,82,4
4,218,4
4,402,3
4,66,2
4,307,1
5,344,4
5,399,3
5,419,5
5,219,3
5,151,4
5,46,5
5,135,3
5,415,4
5,73,5
5,486,4
5,331,4
5,133,3
5,19,3
5,445,3
5,408,5
5,317,3
6,319,4
6,246,4
6,122,3
6,416,3
6,192,3
6,25,5
6,338,5
6,412,5
6,386,4
6,74,4
6,435,5
6,187,4
6,416,4
6,51,4
6,64,3
6,209,4
6,149,4
6,482,3
6,15,1
6,138,2
6,102,4
6,500,2
6,81,3
6,406,4
6,350,2
7,47,4
7,311,4
7,63,5
7,292,4
7,26,4
7,112,5
7,227,5
7,457,4
7,472,4
7,464,5
7,22,5
7,411,5
7,308,4
7,364,3
7,190,3
7,251,4
7,109,3
7,416,3
7,381,4
7,180,3
7,310,4
8,134,4
8,320,3
8,205,4
8,383,3
8,273,4
8,487,4
8,261,3
8,323,5
8,53,4
8,338,5
8,188,5
8,184,3
8,50,2
8,104,3
8,393,4
8,464,3
9,259,4
9,197,4
9,98,4
9,334,5
9,226,4
9,178,4
9,320,5
9,448,3
9,98,4
9,290,4
9,448,4
9,481,5
9,52,5
9,158,4
9,448,5
9,399,3
9,74,3
9,288,2
9,468,3
9,379,3
9,81,3
9,457,5
9,305,3
9,151,3
9,389,1
10,346,3
10,352,4
10,128,5
10,117,4
10,295,5
10,396,3
10,251,5
10,5,4
10,99,4
10,164,4
10,225,5
10,462,4
10,478,1
10,485,1
10,247,4
10,435,3
10,130,4
10,289,2
11,320,5
11,165,4
11,405,4
11,230,3
11,381,4
11,290,4
11,380,4
11,67,5
11,17,5
11,86,3
11,121,4
11,419,5
11,117,3
11,405,3
11,246,3
11,151,4
11,217,3
11,368,5
11,430,3
11,85,3
11,401,2
11,147,3
11,314,3
11,339,4
11,265,4
12,469,4
12,155,5
12,334,5
12,14,4
12,421,5
12,403,5
12,70,3
12,462,4
12,253,3
12,32,4
12,356,5
12,455,3
12,242,5
12,395,4
12,99,4
12,69,4
12,321,3
12,299,1
12,247,2
12,234,1
12,152,3
12,322,2
12,335,4
12,228,3
13,135,3
13,323,4
13,225,4
13,16,4
13,429,4
13,197,4
13,117,4
13,200,4
13,373,5
13,344,5
13,256,4
13,219,4
13,7,4
13,381,5
13,178,4
13,88,4
13,45,3
13,388,4
13,262,4
13,331,5
13,438,4
13,304,3
13,133,4
13,145,4
13,308,3
13,260,3
13,257,3
13,222,5
13,339,2
13,41,5
14,82,4
14,161,4
14,16,4
14,73,5
14,498,3
14,219,4
14,492,4
14,67,5
14,61,5
14,53,4
14,57,4
14,27,3
14,94,3
14,328,2
14,467,2
15,233,5
15,146,4
15,490,3
15,457,5
15,317,4
15,112,3
15,348,5
15,120,4
15,6,4
15,468,4
15,81,4
15,47,4
15,169,5
15,33,4
15,238,5
15,392,4
15,414,5
15,367,5
15,442,4
15,433,3
15,395,2
15,320,2
15,204,4
15,271,4
15,309,3
15,84,2
15,130,3
15,243,3
16,12,4
16,460,3
16,198,4
16,255,5
16,285,5
16,44,4
16,63,4
16,345,4
16,249,4
16,90,3
16,270,5
16,397,4
16,231,4
16,155,3
16,352,5
16,105,5
16,93,5
16,341,5
16,37,3
16,103,2
16,297,3
16,449,3
16,137,3
16,184,1
16,37,1
16,475,3
16,168,3
17,27,4
17,406,4
17,430,4
17,216,4
17,440,5
17,40,5
17,475,5
17,154,4
17,50,4
17,216,4
17,432,4
17,141,4
17,33,4
17,234,5
17,317,4
17,286,4
17,401,3
17,391,3
17,162,2
17,495,2
17,248,4
17,101,3
18,116,5
18,470,4
18,204,3
18,357,5
18,314,4
18,85,4
18,340,4
18,249,3
18,484,5
18,127,3
18,235,5
18,168,5
18,356,4
18,476,3
18,212,3
18,11,4
18,416,2
19,76,4
19,153,4
19,404,3
19,256,4
19,300,5
19,280,5
19,420,4
19,132,4
19,488,3
19,36,4
19,223,3
19,315,5
19,34,3
19,445,2
19,195,4
19,154,5
19,228,4
19,4,1
19,172,1
20,99,3
20,93,5
20,306,4
20,397,4
20,31,5
20,132,4
20,130,4
20,257,3
20,326,3
20,357,4
20,132,3
20,155,4
20,365,3
20,299,3
20,353,2
20,33,2
20,263,3
20,360,5
21,32,4
21,29,4
21,231,4
21,344,5
21,186,3
21,268,5
21,236,4
21,66,3
21,327,4
21,300,3
21,250,4
21,174,5
21,231,5
21,320,3
21,488,3
21,310,5
21,355,5
21,275,4
21,278,3
21,57,3
21,318,4
21,39,3
21,376,2
21,222,2
21,402,4
21,173,1
21,302,3
22,275,4
22,386,4
22,103,4
22,117,5
22,485,4
22,95,4
22,239,4
22,338,5
22,78,4
22,226,3
22,320,4
22,245,4
22,456,5
22,310,4
22,342,5
22,258,3
22,188,5
22,319,4
22,73,4
22,304,3
22,22,3
22,139,4
22,29,2
22,62,2
22,276,3
22,81,3
23,84,4
23,152,3
23,261,5
23,74,3
23,134,5
23,51,5
23,45,5
23,149,5
23,45,4
23,128,5
23,346,4
23,384,4
23,317,5
23,306,5
23,93,4
23,489,3
23,321,5
24,252,4
24,162,5
24,21,4
24,339,4
24,379,4
24,32,3
24,301,5
24,90,4
24,99,4
24,340,4
24,181,4
24,94,4
24,74,1
24,42,4
24,233,5
24,394,3
24,475,5
24,50,2
25,445,4
25,397,4
25,164,3
25,167,5
25,1,5
25,13,4
25,480,5
25,425,3
25,13,4
25,1,4
25,236,5
25,124,5
25,23,4
25,125,5
25,389,3
25,136,5
25,411,5
25,46,2
25,475,4
25,209,1
25,221,3
25,24,3
25,65,3
25,370,5
26,373,4
26,77,5
26,447,5
26,29,5
26,259,3
26,219,4
26,341,3
26,366,4
26,295,4
26,327,3
26,165,4
26,73,5
26,352,4
26,409,4
26,257,3
26,32,4
26,468,4
26,329,2
26,317,3
26,491,1
26,471,3
26,238,1
26,314,4
27,150,4
27,185,4
27,264,5
27,145,3
27,436,4
27,47,3
27,439,3
27,406,4
27,454,4
27,293,5
27,37,4
27,324,5
27,114,3
27,52,1
27,9,1
27,153,2
27,404,3
27,102,3
27,495,1
28,462,4
28,250,3
28,438,3
28,399,4
28,253,4
28,489,4
28,110,4
28,29,4
28,197,3
28,463,4
28,405,3
28,339,3
28,252,5
28,174,4
28,372,5
28,359,4
28,262,4
28,500,2
28,314,1
28,237,2
28,42,4
28,33,3
28,349,3
28,258,3
28,68,5
29,411,4
29,406,4
29,500,3
29,140,4
29,185,5
29,107,5
29,43,3
29,427,5
29,169,4
29,183,4
29,430,3
29,56,4
29,292,4
29,277,4
29,324,5
29,133,5
29,500,4
29,112,5
29,439,4
29,444,4
29,250,3
29,54,2
29,131,3
29,130,2
29,174,1
29,239,4
29,105,2
29,404,3
29,469,1
30,487,3
30,329,3
30,383,4
30,192,3
30,98,3
30,75,5
30,323,4
30,135,3
30,391,4
30,158,4
30,261,4
30,310,4
30,359,3
30,412,4
30,331,4
30,92,4
30,83,5
30,81,3
30,415,2
30,186,2
30,460,3
30,347,2
30,49,2
30,108,4
30,203,3
31,447,5
31,158,5
31,498,3
31,74,3
31,429,5
31,251,4
31,359,4
31,382,4
31,163,4
31,128,5
31,92,5
31,36,5
31,88,4
31,70,5
31,320,3
31,447,4
31,456,4
31,22,2
31,4,2
31,268,2
31,231,4
31,12,3
31,152,3
32,249,4
32,167,4
32,418,4
32,180,4
32,198,3
32,90,4
32,321,5
32,130,5
32,211,5
32,279,5
32,496,4
32,291,5
32,108,3
32,69,4
32,418,4
32,38,3
32,176,4
32,323,5
32,151,2
32,97,4
32,280,1
32,264,3
32,143,3
32,115,3
33,27,5
33,37,5
33,138,4
33,141,5
33,26,5
33,493,5
33,464,4
33,114,3
33,444,4
33,289,4
33,276,4
33,107,4
33,449,5
33,414,5
33,444,4
33,112,3
33,454,3
33,276,5
33,235,3
33,262,3
33,103,3
33,121,3
33,249,3
33,28,3
33,77,4
33,257,5
33,310,5
34,409,3
34,226,3
34,256,4
34,31,5
34,412,4
34,252,4
34,135,4
34,347,4
34,220,4
34,36,5
34,267,4
34,66,4
34,256,3
34,332,5
34,180,4
34,110,3
34,459,4
34,175,4
34,175,4
34,158,4
34,44,4
34,485,2
34,90,4
34,450,3
34,476,3
34,142,3
34,349,2
34,84,4
34,348,3
35,335,5
35,487,5
35,273,5
35,226,5
35,226,5
35,60,4
35,172,5
35,373,4
35,219,4
35,28,3
35,380,5
35,140,4
35,473,2
35,446,4
35,299,5
35,388,2
36,302,5
36,411,4
36,375,5
36,196,5
36,410,4
36,42,4
36,55,5
36,410,5
36,145,3
36,287,5
36,493,4
36,255,1
36,395,3
36,345,2
36,435,4
36,270,3
37,341,5
37,363,4
37,161,5
37,151,5
37,396,4
37,253,4
37,66,5
37,275,5
37,382,5
37,437,4
37,181,4
37,484,3
37,137,5
37,400,3
37,397,5
37,182,2
37,112,2
37,39,3
37,390,4
37,221,2
37,65,3
37,177,3
38,267,5
38,214,4
38,314,3
38,250,4
38,58,3
38,378,4
38,90,4
38,445,3
38,236,4
38,333,5
38,266,5
38,153,4
38,260,3
38,54,3
38,236,4
38,306,5
38,210,2
38,4,4
38,14,2
38,182,5
38,114,3
38,200,4
38,463,3
38,215,3
39,116,5
39,309,4
39,496,4
39,236,4
39,12,4
39,186,5
39,109,4
39,108,4
39,269,5
39,136,4
39,445,4
39,326,5
39,1,5
39,201,3
39,394,3
39,256,3
39,331,3
39,8,3
39,147,3
39,14,2
39,98,3
40,461,3
40,479,5
40,177,5
40,50,4
40,235,4
40,430,4
40,418,5
40,289,3
40,408,3
40,94,4
40,423,4
40,211,4
40,411,3
40,276,4
40,293,4
40,228,4
40,348,5
40,140,3
40,311,4
40,227,4
40,297,4
40,242,3
40,466,4
40,200,2
40,161,5
40,280,3
40,347,2
40,255,3
40,315,3
40,258,4
41,197,3
41,366,3
41,189,4
41,370,4
41,412,4
41,415,4
41,20,4
41,159,4
41,159,4
41,370,3
41,266,3
41,432,3
41,441,1
41,180,3
41,63,2
42,367,3
42,479,4
42,2,4
42,336,4
42,270,3
42,62,5
42,119,5
42,330,5
42,107,4
42,392,5
42,33,5
42,185,4
42,371,3
42,165,5
42,399,3
42,488,3
42,255,2
42,110,2
43,431,5
43,412,4
43,172,4
43,244,3
43,165,4
43,71,3
